Paso, Clase 1, Clase 2, Clase 3, Clase 4, Clase 5, Clase 6, Clase 7, Clase 8, Clase 9, Clase 10
320, 2711, 1174, 828, 314, 3, 63, 291, 800, 1059, 2757
321, 2724, 1128, 857, 318, 3, 71, 287, 805, 1053, 2754
322, 2744, 1158, 823, 304, 1, 70, 295, 762, 1031, 2812
323, 2770, 1119, 847, 293, 1, 68, 288, 760, 1040, 2814
324, 2756, 1152, 817, 302, 3, 61, 300, 742, 1076, 2791
325, 2737, 1151, 837, 303, 2, 63, 309, 766, 1031, 2801
326, 2733, 1164, 837, 294, 2, 81, 256, 810, 1016, 2807
327, 2719, 1186, 835, 286, 4, 67, 294, 742, 1096, 2771
328, 2749, 1113, 852, 313, 3, 72, 322, 738, 1038, 2800
329, 2750, 1152, 841, 284, 3, 74, 285, 760, 1027, 2824
330, 2749, 1150, 845, 282, 4, 69, 287, 756, 1053, 2805
331, 2745, 1183, 790, 309, 3, 78, 273, 769, 1033, 2817
332, 2766, 1117, 847, 297, 3, 76, 283, 761, 1039, 2811
333, 2746, 1160, 795, 328, 1, 68, 299, 754, 1061, 2788
334, 2748, 1163, 805, 311, 3, 66, 304, 757, 1028, 2815
335, 2754, 1128, 835, 312, 1, 65, 311, 754, 1037, 2803
336, 2748, 1137, 832, 309, 4, 74, 294, 766, 1034, 2802
337, 2790, 1149, 789, 299, 3, 75, 282, 765, 960, 2888
338, 2764, 1129, 831, 303, 3, 68, 299, 737, 1069, 2797
339, 2753, 1154, 801, 320, 2, 67, 276, 744, 1140, 2743
340, 2782, 1123, 790, 331, 4, 66, 290, 751, 1076, 2787
341, 2800, 1095, 816, 317, 2, 67, 289, 778, 995, 2841
342, 2819, 1115, 802, 293, 1, 72, 278, 748, 984, 2888
343, 2790, 1121, 803, 313, 3, 60, 290, 746, 1076, 2798
344, 2770, 1098, 835, 324, 3, 64, 295, 763, 1085, 2763
345, 2777, 1117, 810, 323, 3, 68, 256, 804, 1070, 2772
346, 2790, 1140, 791, 306, 3, 67, 257, 770, 1073, 2803
347, 2809, 1104, 807, 306, 4, 57, 272, 774, 1060, 2807
348, 2814, 1087, 832, 295, 2, 63, 271, 767, 1045, 2824
349, 2790, 1096, 846, 296, 2, 59, 277, 772, 1073, 2789
350, 2790, 1102, 817, 320, 1, 61, 287, 753, 1089, 2780
351, 2794, 1108, 809, 318, 1, 66, 290, 750, 1050, 2814
352, 2778, 1123, 799, 327, 3, 67, 287, 770, 1045, 2801
353, 2785, 1140, 796, 308, 1, 67, 289, 732, 1061, 2821
354, 2788, 1136, 780, 324, 2, 68, 273, 768, 1049, 2812
355, 2782, 1146, 805, 294, 3, 68, 311, 716, 1013, 2862
356, 2790, 1133, 814, 287, 6, 76, 287, 724, 1033, 2850
357, 2780, 1143, 798, 307, 2, 80, 285, 722, 1049, 2834
358, 2758, 1128, 819, 320, 5, 77, 297, 749, 1049, 2798
359, 2754, 1144, 808, 322, 2, 75, 288, 776, 1018, 2813
360, 2750, 1147, 803, 329, 1, 73, 302, 758, 1030, 2807
361, 2764, 1166, 804, 294, 2, 70, 256, 775, 1066, 2803
362, 2765, 1156, 824, 284, 1, 71, 278, 736, 1070, 2815
363, 2775, 1119, 820, 313, 3, 67, 293, 760, 1043, 2807
364, 2758, 1150, 814, 304, 4, 69, 291, 766, 1025, 2819
365, 2770, 1144, 809, 302, 5, 63, 294, 739, 1076, 2798
366, 2789, 1100, 842, 294, 5, 58, 305, 748, 1043, 2816
367, 2794, 1123, 799, 313, 1, 65, 314, 732, 998, 2861
368, 2810, 1139, 803, 277, 1, 73, 260, 750, 1008, 2879
369, 2807, 1111, 827, 283, 2, 73, 292, 716, 1022, 2867
370, 2816, 1084, 824, 304, 2, 68, 297, 739, 1011, 2855
371, 2842, 1099, 791, 295, 3, 70, 282, 718, 1016, 2884
372, 2842, 1101, 783, 301, 3, 72, 273, 753, 969, 2903
